Albany, NY (ALB)	Baltimore, MD (BWI)	Charleston, SC (CHS)	Dallas, TX (DFW)	Eagle Pass, TX	Fargo, ND (FAR)	Grand Forks, ND (GFK)	Harrisburg, PA (MDT)	Indianapolis, IN (IND)	Jackson, MS (JAN)	Kansas City, MO (MCI)	Lake City, FL	Madison, WI ( MSN)	Nashville, TN (BNA)	Oakley, KS	Philadelphia, PA( PHL)		Raleigh, NC (RDU)	Salt Lake City, UT (SLC)	Tallahassee, FL (TLH)			Washington, D.C. (WAS)		Yosemite Village, CA	
Albuquerque, NM (ABQ)	Bangor, ME (BGR)	Charleston, WV (CRW)	Daytona Beach, FL (DAB)	El Paso, TX (ELP)	Flagstaff, AZ (FLG)	Grand Rapids, MI (GRP)	Hartford, CT (BDL)		Jacksonville, FL (JAX)	Key West, FL (EYW)	Lamar, CO	Malta, MT 	New Orleans, LA (MSY)	Oklahoma City, OK (OKC)	Phoenix, AZ (PHX)		Rapid City, SD (RAP)	San Antonio, TX (SAT)	Tampa, FL (TPA)			Wichita, KS (ICT)			
Amarillo, TX (AMA)	Barstow, CA	Charlotte, NC (CLT)	Denver, CO (DEN)	Ely, NV (LYU)			Helena, MT (HLN)			Knoxville, TN (TYS)	Laredo, Tx (LRD)	Memphis, TN (MEM)	New York City, NY (NYC)	Old Faithful, WY	Pierre, SD (PIR)		Rawlins, WY 	San Diego, CA (SAN)	Topeka, KS (FOE)			Wilmington, NC (ILM)			
Atlanta, GA ( ATL)	Big Spring, TX	Cheyenne, WY (CYS)	Des Moines, IA (DSM)	Eugene, OR (EUG)			Houston, TX (IAH)				Las Vegas, NV (LAS)	Miami, FL (MIA)	Norfolk, VA (ORF)	Omaha, NE (OMA)	Pittsburgh, PA( PIT)		Reno, NV (RNO)	San Francisco, CA (SFO)	Tucson, AZ (TUS)			Winnemucca, NV 			
	Billings, MT (BIL)	Chicago, IL (ORD)	Detroit, MI (DTW)								Liberal, KS (LBL)	Milwaukee, WI (MKE)	North Platte, NE (LBF)	Orlando, FL (MCO)	Portland, ME (PWM)		Richmond, VA (RIC)	Savannah, GA (SAV)	Twin Falls, ID (TWF)						
	Binghamton, NY (BGM)	Cincinnati, OH (CVG)	Duluth, MN (DLH)								Little Rock, AR (LIT)	Minneapolis, MN (MSP)			Portland, OR (PDX)		Riley, OR	Seattle, WA (SEA)							
	Birmingham, AL (BHM)	Cleveland, OH (CLE)									Los Angeles, CA (LAX)	Minot, ND (MOT)						Sioux Falls, SD (FSD)							
	Bismarck, ND (BIS)	Columbus, OH (CMH)									Louisville, KY (SDF)	Missoula, MT (MSO)						Spokane, WA (GEG)							
	Boise, ID (BOI)	Cortez, CO (CEZ)										Mobile, AL (MOB)						Springerville, AZ							
	Boston, MA (BOS)	Crescent City, CA (CEC)										Montgomery, (AL (MGM)						Springfield, MO (SGF)							
	Brownsville, TX (BRO)											Myrtle Beach, SC (MYR)						St. George, UT (SGU)							
	Buffalo, NY (BUF)																	St. Louis, MO (STL)							
	Buffalo, WY																								
																									
																									
																									
																									
																									
																									
4	13	10	6	4	2	2	4	1	2	3	8	11	5	5	6		6	12	5			4		1	114
